Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2016,SGB_001,6/26/2016,14:00,37 MI,64.85152,-166.09987,BJH,5,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_001,6/28/2016,12:15,37 MI,64.85152,-166.09987,LHD,Fate Determined,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/16/2016,18:30,37 MI,64.84956,-166.08739,SGB,Initial Discovery,incubation,Y,,,1HN,FEDG,1ET,FEDG,,,,,,,,,,,|||||||||||||||||||||||||||an has this info||||||||||||||||||||||||||||||||||
2016,SGB_002,6/23/2016,15:15,37 MI,64.84956,-166.08739,JVG,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/24/2016,17:10,37 MI,64.84956,-166.08739,LHD,3,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/26/2016,13:00,37 MI,64.84956,-166.08739,CWW,4,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/27/2016,20:30,37 MI,64.84956,-166.08739,JVG,5,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/29/2016,13:15,37 MI,64.84956,-166.08739,JVG,6,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,7/2/2016,19:00,37 MI,64.84956,-166.08739,SGB,7,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,7/3/2016,18:00,37 MI,64.84956,-166.08739,BJH,Fate Determined,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
